CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV
1.6566,0,19.58,0,0.871,6.122,97.3,1.618,5,403,14.7,14.1,21.5
0.10612,30,4.93,0,0.428,6.095,65.1,6.3361,6,300,16.6,12.4,20.1
2.33099,0,19.58,0,0.871,5.186,93.8,1.5296,5,403,14.7,28.32,17.8
0.06129,20,3.33,1,0.4429,7.645,49.7,5.2119,5,216,14.9,3.01,46
1.15172,0,8.14,0,0.538,5.701,95,3.7872,4,307,21,18.35,13.1
0.47547,0,9.9,0,0.544,6.113,58.8,4.0019,4,304,18.4,12.73,21
0.05561,70,2.24,0,0.4,7.041,10,7.8278,5,358,14.8,4.74,29
13.0751,0,18.1,0,0.58,5.713,56.7,2.8237,24,666,20.2,14.76,20.1
0.0351,95,2.68,0,0.4161,7.853,33.2,5.118,4,224,14.7,3.81,48.5
1.49632,0,19.58,0,0.871,5.404,100,1.5916,5,403,14.7,13.28,19.6
0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,7.67,26.5
0.11329,30,4.93,0,0.428,6.897,54.3,6.3361,6,300,16.6,11.38,22
0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,30.81,14.4
1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,18.72,15.2
0.23912,0,9.69,0,0.585,6.019,65.3,2.4091,6,391,19.2,12.92,21.2
0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,16.51,13.9
0.97617,0,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,17.31,15.6
0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,10.24,19.4
1.20742,0,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.7,14.43,17.4
5.82401,0,18.1,0,0.532,6.242,64.7,3.4242,24,666,20.2,10.74,23
0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,8.77,21
0.06076,0,11.93,0,0.573,6.976,91,2.1675,1,273,21,5.64,23.9
22.0511,0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,22.11,10.5
88.9762,0,18.1,0,0.671,6.968,91.9,1.4165,24,666,20.2,17.21,10.4
0.6147,0,6.2,0,0.507,6.618,80.8,3.2721,8,307,17.4,7.6,30.1
0.14231,0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,10.45,18.5
0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,10.63,18.6
