surgery,age,"rectal_temp
Ö±³¦ÎÂ¶È","pulse
Âö²«","temp_of_extremities
ËÄÖ«ÎÂ¶È","peripheral_pulse
ÖÜÎ§Ñª¹Ü²«¶¯","mucous_membrane
Õ³Ä¤","capillary_refill_time
Ã«Ï¸Ñª¹ÜÔÙ³äÓ¯Ê±¼ä","peristalsis
³¦Èä¶¯","abdominal_distention
¸¹ÕÍ","nasogastric_tube
±ÇÎ¸¹Ü","nasogastric_reflux
·´Á÷Î¸Òº","rectal_exam_feces
Ö±³¦Ö¸¼ì·à±ã","abdomen
¸¹²¿","packed_cell_volume
ºìÏ¸°ûÑ¹»ý",total_protein,"abdomo_appearance
¸¹Ç»´©´Ì",abdomo_protein,"surgical_lesion
ÊÖÊõ²¡±ä",outcome
"0: no
1: yes","2: adult
1: young","0: NA
normal: 37.8","0: NA
normal: 30-40","0: NA
1: cold
2: cool 
3: normal
4: warm ","0: NA/absent
1: reduced 
2: normal
3: increased","0: NA
1: normal pink/bright pink 
2: pale pink 
3: pale cyanotic/dark cyanotic
4: bright red/injected","0: NA
1: less_3_sec
2: more_3_sec","0: NA/absent 
1: hypomotile 
2: normal
3: hypermotile","0: NA/none
1: slight
2: moderate
3: severe","0: NA/none
1: slight
2: significant","0: NA/none
1: less_1_liter
2: more_1_liter","0: NA/absent
1: decreased
2: normal 
3: increased ","0: NA
1: normal
2: firm feces in larg intestine
3: distended small/large intestine
4: other","0: NA
normal: 30-50","0: NA
normal: 6-7.5","0: NA
1: clear
2: cloudy
3: serosanguious",0: NA,"0: no
1: yes","0: died/euthanized
1: lived"
0,2,38.5,66,2,1,0,2,0,3,0,0,1,3,45,8.4,0,0,0,0
1,2,39.2,88,0,0,3,1,0,1,0,0,0,4,50,85,2,2,0,0
0,2,38.3,40,3,2,2,1,3,0,0,0,2,1,33,6.7,0,0,0,1
1,1,39.1,164,1,2,3,2,0,3,0,1,1,0,48,7.2,3,5.3,1,0
0,2,37.3,104,0,0,3,2,0,0,0,0,0,0,74,7.4,0,0,0,0
0,2,0,0,4,2,2,1,3,1,1,0,1,2,0,0,0,0,0,1
1,2,37.9,48,3,2,1,1,3,2,0,0,1,3,37,7,0,0,1,1
1,2,0,60,2,0,0,1,0,1,1,0,1,3,44,8.3,0,0,1,0
0,2,0,80,2,0,2,1,0,3,1,0,1,3,38,6.2,0,0,1,0
0,1,38.3,90,3,0,1,1,3,0,1,0,1,0,40,6.2,1,2.2,0,1
1,2,38.1,66,2,1,4,1,3,0,1,0,3,3,44,6,2,3.6,1,1
0,2,39.1,72,4,0,1,1,3,1,0,0,0,3,50,7.8,0,0,1,1
1,2,37.2,42,4,2,1,1,3,2,2,0,0,3,0,7,0,0,0,1
0,1,38,92,3,2,1,1,3,1,2,0,2,1,37,6.1,1,0,0,0
1,2,38.2,76,2,2,1,1,0,0,1,1,0,3,46,81,1,2,1,1
1,2,37.6,96,2,2,3,1,3,2,1,2,0,0,45,6.8,0,0,1,0
1,1,0,128,2,1,3,2,0,2,2,0,0,3,53,7.8,3,4.7,0,0
0,2,37.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,37.6,64,3,2,1,1,3,0,0,0,3,3,40,7,1,0,1,1
0,2,39.4,110,1,1,3,0,3,2,0,0,0,0,55,8.7,0,0,0,1
1,2,39.9,72,3,2,4,2,0,3,2,0,0,3,46,6.1,2,0,1,1
0,2,38.4,48,3,0,1,1,3,0,1,2,0,2,49,6.8,0,0,0,1
1,2,38.6,42,4,2,3,0,3,0,0,0,2,0,48,7.2,0,0,1,1
1,1,38.3,130,0,1,0,1,0,0,0,0,0,0,50,70,0,0,1,1
1,2,38.1,60,2,1,2,1,0,2,2,1,0,0,51,65,0,0,1,1
0,2,37.8,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,2,38.3,72,1,1,2,2,3,2,1,0,1,3,43,7,2,3.9,1,1
1,2,37.8,48,2,2,1,1,3,1,0,0,2,2,37,5.5,2,1.3,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,37.7,48,4,2,1,1,3,0,0,0,0,0,45,76,0,0,0,1
0,2,37.7,96,2,1,3,2,0,3,2,1,0,3,66,7.5,0,0,1,0
0,2,37.2,108,2,1,3,2,0,1,0,2,1,2,52,8.2,3,7.4,1,0
1,2,37.2,60,4,2,1,1,3,2,1,0,0,3,43,6.6,0,0,1,1
1,2,38.2,64,3,2,1,1,3,0,0,0,0,3,49,8.6,2,6.6,1,1
1,2,0,100,2,1,3,2,0,3,2,2,0,3,52,6.6,0,0,1,1
0,2,0,104,1,1,2,2,0,2,0,2,0,4,73,8.4,0,0,1,0
0,2,38.3,112,0,1,4,2,0,0,0,1,0,3,51,6,2,1,0,0
1,2,37.8,72,0,1,0,1,3,0,0,0,2,1,56,80,1,2,1,1
0,2,38.6,52,3,2,1,1,3,1,0,0,2,2,32,6.6,1,5,0,1
1,1,39.2,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,0,88,2,1,3,2,3,2,0,2,0,3,63,6.5,3,0,1,0
0,1,39,150,0,0,0,0,0,0,0,0,0,0,47,8.5,0,0.1,1,1
0,2,38,60,2,2,2,1,3,0,0,0,3,4,47,7,0,0,0,1
1,2,0,120,2,0,3,1,0,3,0,0,0,3,52,67,2,2,1,0
1,2,35.4,140,2,1,3,2,0,0,1,0,0,3,57,69,3,2,1,0
0,2,0,120,1,1,3,2,0,3,0,0,0,3,60,6.5,3,0,1,0
1,2,37.9,60,2,0,3,2,0,3,1,1,0,3,65,7.5,0,0,1,1
0,2,37.5,48,3,2,1,1,3,0,0,0,2,0,37,6.5,0,0,0,1
1,2,38.9,80,2,1,2,2,3,2,1,1,1,1,54,6.5,3,0,1,0
0,2,37.2,84,2,1,4,2,3,1,0,1,3,1,73,5.5,2,4.1,0,0
0,2,38.6,46,3,2,1,1,3,1,0,0,0,4,49,9.1,1,1.6,0,1
